Country,Clicks,Impressions,CTR,Position
United Kingdom,4,62,6.45%,1.27
United States,0,46,0%,17.61
Spain,0,11,0%,11.64
India,0,10,0%,8.5
Germany,0,9,0%,10.11
Canada,0,4,0%,4.5
Italy,0,3,0%,10
Netherlands,0,3,0%,30.33
Brazil,0,2,0%,1
Bulgaria,0,2,0%,3
France,0,2,0%,8.5
China,0,1,0%,5
Mexico,0,1,0%,7
Japan,0,1,0%,9
South Korea,0,1,0%,10
Russia,0,1,0%,10
Iraq,0,1,0%,11
Slovakia,0,1,0%,11
Myanmar (Burma),0,1,0%,12
Paraguay,0,1,0%,17
